name,display_name,journal_id,abbrev_flag
A.I.P.P.I.,AIPPI,JOURNAL-FN6JQY,0
AIPPI,AIPPI,JOURNAL-FN6JQY,1
NBL,NBL,JOURNAL-MX0LZ9,0
アメリカ法,米法,JOURNAL-BIA5NK,0
米法,米法,JOURNAL-BIA5NK,1
エコノミスト,エコノミスト,JOURNAL-LOZQL4,0
ケース研究,ケ研,JOURNAL-17XZB0,0
ケ研,ケ研,JOURNAL-17XZB0,1
コピライト,コピ,JOURNAL-H6I07I,0
コピ,コピ,JOURNAL-H6I07I,1
シュトイエル,シュト,JOURNAL-6YNLTW,0
シュト,シュト,JOURNAL-6YNLTW,1
ジュリスト,ジュリ,JOURNAL-T5N70V,0
ジュリ,ジュリ,JOURNAL-T5N70V,1
パテント,パテ,JOURNAL-1Z4Z74,0
パテ,パテ,JOURNAL-1Z4Z74,1
みんけん,民研,JOURNAL-3DSOHR,0
民研,民研,JOURNAL-3DSOHR,1
レファレンス,レファ,JOURNAL-E258SA,0
レファ,レファ,JOURNAL-E258SA,1
下級裁判所刑事裁判例集,下刑集,JOURNAL-AUNTSC,0
下刑,下刑集,JOURNAL-AUNTSC,1
下刑集,下刑集,JOURNAL-AUNTSC,1
下級裁判所民事裁判例集,下民集,JOURNAL-0RNCWF,0
下民,下民集,JOURNAL-0RNCWF,1
下民集,下民集,JOURNAL-0RNCWF,1
不動産法律セミナー,不セ,JOURNAL-VWS8IN,0
不セ,不セ,JOURNAL-VWS8IN,1
不動産鑑定,鑑定,JOURNAL-6CAUNQ,0
鑑定,鑑定,JOURNAL-6CAUNQ,1
不当労働行為事件命令集,命令集,JOURNAL-KGVTX1,0
命令集,命令集,JOURNAL-KGVTX1,1
不法行為に関する下級裁判所民事裁判例集,不法下民集,JOURNAL-5ZDW24,0
不法下民,不法下民集,JOURNAL-5ZDW24,1
不法下民集,不法下民集,JOURNAL-5ZDW24,1
主要民事判例解説,主判解,JOURNAL-UBRMYL,0
主判解,主判解,JOURNAL-UBRMYL,1
交通事故による不法行為に関する下級裁判所民事裁判例集,交通下民,JOURNAL-VH9XX6,0
交通下民,交通下民,JOURNAL-VH9XX6,1
交通事故民事裁判例集,交民集,JOURNAL-D07AGT,0
交民,交民集,JOURNAL-D07AGT,1
交民集,交民集,JOURNAL-D07AGT,1
交通民集,交民集,JOURNAL-D07AGT,1
交通法研究,交通,JOURNAL-EXHXEU,0
交通,交通,JOURNAL-EXHXEU,1
人事院月報,人月,JOURNAL-OY71TX,0
人月,人月,JOURNAL-OY71TX,1
人権のひろば,人権,JOURNAL-G1JDRI,0
人権,人権,JOURNAL-G1JDRI,1
企業会計,企会,JOURNAL-TE31LR,0
企会,企会,JOURNAL-TE31LR,1
企業法研究,企法,JOURNAL-YWGG8C,0
企法,企法,JOURNAL-YWGG8C,1
保育情報,保育情報,JOURNAL-A7VHSC,0
信託,信託,JOURNAL-SFHCS5,0
信託法研究,信研,JOURNAL-JNZXX8,0
信研,信研,JOURNAL-JNZXX8,1
公害等調整委員会,公害等調整委員会,JOURNAL-VMRM7Z,0
公害紛争処理白書,公害紛争処理白書,JOURNAL-7FMJFJ,0
公害紛争処理白書平成元年版,公害紛争処理白書,JOURNAL-7FMJFJ,0
公正取引委員会審決集,審決集,JOURNAL-RFMQGA,0
審決集,審決集,JOURNAL-RFMQGA,1
公正取引委員会排除命令集,公取排命集,JOURNAL-V2BKJC,0
公取排命集,公取排命集,JOURNAL-V2BKJC,1
排命集,公取排命集,JOURNAL-V2BKJC,1
排除命令集,公取排命集,JOURNAL-V2BKJC,1
公法研究,公法,JOURNAL-XCC83D,0
公法,公法,JOURNAL-XCC83D,1
公益法人,公益,JOURNAL-XCBD8E,0
